"ID","O'zlashma so'z","Kelib chiqishi va ma'nosi","O'zbekcha muqobili","Foydalanish holatlari"
"1","Аванс","Fransuz tilidan oʻzlashgan soʻz boʻlib, “oldindan toʻlov”, “jismoniy yoki yuridik shaxs tomonidan boshqasiga kelgusida toʻlanadigan haq hisobidan oldindan beriladigan pul miqdori” degan maʼnoni bildiradi.","Boʻnak","“Avans” va “boʻnak” atamalari qonunchilik hujjatlarida, rasmiy ish yuritishda hamda jonli muloqotda barobar qoʻllanmoqda. “Boʻnak” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi hamda atamaning yagona shaklda qoʻllanishiga olib keladi."
"2","Автопилот","Yunon va fransuz tillaridan oʻzlashgan soʻz birikmasi. Turli transport vositalarini inson aralashuvisiz avtomatik boshqarish tizimi maʼnosida qoʻllaniladi.","Avtoboshqaruv","“Avtopilot” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Avtoboshqaruv” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Hozirda turli lugʻatlar, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda ishlatib kelinmoqda."
"3","Айсберг","Nemis tilidan oʻzlashgan soʻz bo‘lib, okean va dengizlarda erkin suzib yuruvchi katta muz boʻlagi – “muz togʻ” degani.","Muztogʻ","“Aysberg” va “muztogʻ” atamalari darslik, qoʻllanmalarda, firma va tovar nomi sifatida qoʻllangan. Bundan tashqari, lugʻatlarda oʻzaro sinonim sifatida berilib, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanilmoqda. “Muztogʻ” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"4","Бодикамера","Ingliz tilidan oʻzlashgan soʻz bo‘lib, “tana kamerasi” maʼnosida keladi.","Yonkamera","“Bodikamera” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qoʻllanmoqda. “Yonkamera” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Hozirda turli lugʻatlar, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda ishlatib kelinmoqda."
"5","Брызговик","Rus tilidan oʻzlashgan soʻz. Gʻildiraklardan otiladigan loy va suv turli tomonlarga sachrashining oldini oladigan jihoz.","Loytoʻskich","Ushbu atama qonunchilik hujjatlarida “sachratmagichlar (brizgovik)” shaklida qoʻllangan. Jonli muloqotda esa “brizgovik” tarzida ishlatib kelinmoqda. “Loytoʻskich” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"6","Внедорожник","Rus tilidan oʻzlashgan soʻz bo‘lib, qiyin sharoitlarga chidamli avtomobil maʼnosini bildiradi.","Yoʻltanlamas","“Yoʻltanlamas” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Bundan tashqari, atamadan OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanib kelinmoqda."
"7","Дискуссия","Lotincha “discussio” soʻzidan oʻzlashgan boʻlib, muammo yuzasidan erkin muhokama, bahs, munozaraga kirishish maʼnosini bildiradi.","Bahs, munozara","“Diskussiya” atamasi darslik, qoʻllanmalar, ilmiy ishlarda qoʻllanmoqda. “Bahs”, “munozara” atamalari oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi. Ular manbalarda sinonim sifatida birga qoʻllanib, OAV, rasmiy saytlar, ijtimoiy tarmoqlarda foydalanilmoqda."
"8","Доставка","Rus tilidan oʻzlashgan soʻz bo‘lib, tovarlarni belgilangan manzilga yetkazish, eltib berish maʼnolarida keladi.","Yetkazish","“Dostavka” soʻzi umumiy ovqatlanish shoxobchalarida, savdo, ishlab chiqarish va xizmat koʻrsatishda, tovar, narsa-buyumlarni yetkazish xizmatlari, reklamalarda, umuman, jonli soʻzlashuvda faol qoʻllanmoqda. “Yetkazish” soʻzi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"9","Зона","Yunoncha “zona” soʻzidan oʻzlashgan boʻlib, “mintaqa”, “belbogʻ”, chiziqlar bilan belgilangan chegara joylar maʼnosini bildiradi.","Hudud","“Zona” atamasi tegishli sohalar, jonli muloqotda hamda qonunchilik hujjatlarida qo‘llanmoqda. “Hudud” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
"10","Карвинг","Ingliz tilidan oʻzlashgan soʻz boʻlib, “kesish”, “oʻyish” degani. Hozirda meva, sabzavot va narsa-buyumlarga kesib, oʻyib bezak berish sanʼati maʼnolarida qoʻllanmoqda.","Oʻymabezak","“Karving” atamasi tegishli sohalar hamda qonunchilik hujjatlarida qoʻllanmoqda. “Oʻymabezak” atamasi oʻzbekcha muqobil sifatida tushunchaning maʼnosini ifodalaydi."
